name,name_korean,country,address,area,ranking,top_tier,majors,fee_d4_1_krw,fee_d2_1_krw,fee_d2_2_min_krw,fee_d2_2_max_krw,fee_d2_3m_min_krw,fee_d2_3m_max_krw,fee_d2_3p_min_krw,fee_d2_3p_max_krw,fee_d2_6_krw,fee_exchange_krw,fee_short_krw,admission_d4_gpa_min,admission_d4_gap_year,admission_d2_gpa_min,admission_d2_gap_year,scholarship_d4_1,scholarship_d2_2,scholarship_d2_3,ktx_room_types,ktx_prices_krw,dormitory_info,part_time_info,support_policies,notes
ĐẠI HỌC AJOU,아주대학교,South Korea,"206 Woldeukeom-ro, Woncheon-dong, Yeongtong-gu, Suwon, Gyeonggi-do, Hàn Quốc",Gyeonggi (Suwon),20,1,Kỹ thuật|IT|Truyền thông|Khoa học tự nhiên|QTKD,1500000,,3928000,5323000,5490000,8513000,,,,,,7.0,2,6.5,unlimited,none,TOPIK3:30|TOPIK4:50|TOPIK5:70|TOPIK6:100,TOPIK5:40|IELTS5.5:40,Phòng 4 người|Phòng 2 người|Phòng 2 người (Quốc tế),747000|1102000|1440000,KTX trong khuôn viên trường. Đăng ký online đầu kỳ.,"Nhà hàng, cửa hàng tiện lợi, dọn dẹp tại khu trung tâm cách trường 10 phút buýt.",Đón sân bay|Hỗ trợ CCCD nước ngoài|Chuyển đổi visa,
ĐẠI HỌC SEJONG,세종대학교,South Korea,"209, Neungdong-ro, Gwangjin-gu, Seoul, Hàn Quốc",Seoul,21,1,Hoạt họa|Nghệ thuật diễn xuất|Quản trị Du lịch & Khách sạn|Nhảy & Khiêu vũ,1650000,,4445000,6085000,6019000,9000000,,,3200000,,,6.6,3,6.5,unlimited,none,TOPIK3:30|TOPIK4:50|TOPIK5:70|TOPIK6:100,TOPIK4:20|TOPIK5:30|IELTS5.5:30,Hệ tiếng|Đại học/Cao học,750000|1600000,Hệ tiếng: 750.000 KRW/kỳ; Đại học/Cao học: ~1.600.000 KRW/6 tháng,"Nhiều cơ hội ngành dịch vụ, giáo dục, công nghệ tại khu vực Gwangjin.",Đón sân bay|Hỗ trợ CCCD,
ĐẠI HỌC JOONGBU,중부대학교,South Korea,Chungcheong Campus (Geumsan-gun) & Goyang Campus (Gyeonggi-do),Chungcheong/Gyeonggi,115,2,Luật cảnh sát|Thương mại quốc tế|Truyền thông|Quản lý y tế|Phần mềm game,1100000,,3117000,3907000,2345000,4644000,,,,,1200000,6.5,2,6.0,unlimited,none,TOPIK2:10|TOPIK3:20|TOPIK4:30|TOPIK5:50|TOPIK6:60,TOPIK2:10|TOPIK3:20|TOPIK4:30|TOPIK5:40|TOPIK6:50,Phòng 4 người (Chungcheong)|Phòng 2 người (Goyang),800000|1900000,4 người/phòng (Chungcheong): 800.000 KRW/6 tháng; 2 người/phòng (Goyang): 1.900.000 KRW/6 tháng,"Cách trường 30 phút đi buýt có khu vực nhiều cửa hàng, quán ăn.",,2 campus khác nhau
